id;title;status;slug;menu_order;classe;chapitre;difficult;solve;annale;;;;;
1786;Calcul d'aire - Fonction - Brevet Métropole 2013;active;aire-fonction-brevet-metropole-2013;4352001;troisieme;3e-notion-de-fonction;2;en-attente-de-correction;brevet-metropole-2013;12135010;Brevet;Métropole;2013;Brevet 2013 Métropole
1790;Lecture graphique - Fonction - Brevet Métropole 2013;active;fonction-lecture-graphique-brevet-metropole-2013;4352001;troisieme;3e-notion-de-fonction;2;exercice-corrige;brevet-metropole-2013;12135020;Brevet;Métropole;2013;Brevet 2013 Métropole
1798;Calcul d'angles - Brevet Métropole 2013;active;calcul-angles-brevet-metropole-2013;5;troisieme;NULL;2;NULL;brevet-metropole-2013;12135030;Brevet;Métropole;2013;Brevet 2013 Métropole
1800;Volume d'un cône - Brevet Métropole 2013;active;volume-cone-brevet-metropole-2013;4702001;troisieme;3e-solides-volumes;2;en-attente-de-correction;brevet-metropole-2013;12135040;Brevet;Métropole;2013;Brevet 2013 Métropole
1804;QCM - Brevet Métropole 2013;active;qcm-brevet-metropole-2013;7;troisieme;NULL;2;NULL;brevet-metropole-2013;12135050;Brevet;Métropole;2013;Brevet 2013 Métropole
1806;Calcul de coûts - Brevet Métropole 2013;active;calcul-couts-brevet-metropole-2013;5;troisieme;NULL;2;NULL;brevet-metropole-2013;12135060;Brevet;Métropole;2013;Brevet 2013 Métropole
1752;Vrai/Faux - Brevet Pondichéry 2013;active;qcm-brevet-pondichery-2013;1;troisieme;NULL;2;NULL;brevet-pondichery-2013;12136010;Brevet;Pondichéry;2013;Brevet 2013 Pondichéry
1754;Statistiques - Brevet Pondichéry 2013;active;statistiques-brevet-pondichery-2013;4802001;troisieme;3e-statistiques;2;en-attente-de-correction;brevet-pondichery-2013;12136020;Brevet;Pondichéry;2013;Brevet 2013 Pondichéry
1762;Proportionnalité Trigonométrie - Brevet Pondichéry 2013;active;proportionnalite-brevet-pondichery-2013;3;troisieme;NULL;2;NULL;brevet-pondichery-2013;12136030;Brevet;Pondichéry;2013;Brevet 2013 Pondichéry
1766;Fonctions - Tableur - Brevet Pondichéry 2013;active;fonctions-tableur-brevet-pondichery-2013;4352001;troisieme;3e-notion-de-fonction;2;en-attente-de-correction;brevet-pondichery-2013;12136040;Brevet;Pondichéry;2013;Brevet 2013 Pondichéry
1774;Volume d'une pyramide - Brevet Pondichéry 2013;active;pyramide-brevet-pondichery-2013;4702001;troisieme;3e-solides-volumes;2;en-attente-de-correction;brevet-pondichery-2013;12136050;Brevet;Pondichéry;2013;Brevet 2013 Pondichéry
1781;Calcul de vitesses - Brevet Pondichéry 2013;active;calcul-vitesse-brevet-pondichery-2013;6;troisieme;NULL;2;NULL;brevet-pondichery-2013;12136060;Brevet;Pondichéry;2013;Brevet 2013 Pondichéry
1740;Trigonométrie - Brevet Métropole 2014;active;trigonometrie-brevet-metropole-2014;4602001;troisieme;3e-theoreme-de-pythagore-trigonometrie;2;en-attente-de-correction;brevet-metropole-2014;12145010;Brevet;Métropole;2014;Brevet 2014 Métropole
1810;Octogone régulier - Brevet Métropole 2014;active;octogone-regulier-brevet-metropole-2014;1;troisieme;NULL;2;en-attente-de-correction;brevet-metropole-2014;12145020;Brevet;Métropole;2014;Brevet 2014 Métropole
1821;Calculs de réductions - Brevet Métropole 2014;active;calcul-reduction-brevet-metropole-2014;2;troisieme;NULL;2;NULL;brevet-metropole-2014;12145030;Brevet;Métropole;2014;Brevet 2014 Métropole
1826;Programme de calcul - Brevet Métropole 2014;active;programme-calcul-brevet-metropole-2014;3;troisieme;NULL;2;exercice-corrige;brevet-metropole-2014;12145040;Brevet;Métropole;2014;Brevet 2014 Métropole
1830;Probabilités - Brevet Métropole 2014;active;probabilites-brevet-metropole-2014;4852001;troisieme;3e-probabilites;2;exercice-corrige;brevet-metropole-2014;12145050;Brevet;Métropole;2014;Brevet 2014 Métropole
1833;QCM - Brevet Métropole 2014;active;qcm-brevet-metropole-2014;5;troisieme;NULL;2;NULL;brevet-metropole-2014;12145060;Brevet;Métropole;2014;Brevet 2014 Métropole
1841;Calculs - Aires et coûts - Brevet Métropole 2014;active;calculs-aires-cout-metropole-2014;7;troisieme;NULL;2;exercice-corrige;brevet-metropole-2014;12145070;Brevet;Métropole;2014;Brevet 2014 Métropole
9897;Probabilités - Brevet Métropole 2017;active;probabilites-brevet-metropole-2017;4852001;troisieme;3e-probabilites;2;en-attente-de-correction;brevet-metropole-2017;12175010;Brevet;Métropole;2017;Brevet 2017 Métropole
9900;Programme Scratch - Brevet Métropole 2017;active;programme-scratch-brevet-metropole-2017;2;troisieme;NULL;2;en-attente-de-correction;brevet-metropole-2017;12175020;Brevet;Métropole;2017;Brevet 2017 Métropole
9906;Fonctions - Brevet Métropole 2017;active;fonctions-brevet-metropole-2017;3;troisieme;NULL;2;en-attente-de-correction;brevet-metropole-2017;12175030;Brevet;Métropole;2017;Brevet 2017 Métropole
9910;Panneaux solaires - Brevet Métropole 2017;active;panneaux-solaires-brevet-metropole-2017;4;troisieme;NULL;2;en-attente-de-correction;brevet-metropole-2017;12175040;Brevet;Métropole;2017;Brevet 2017 Métropole
9917;Calculs de vitesse - Brevet Métropole 2017;active;calculs-de-vitesse-brevet-metropole-2017;5;troisieme;NULL;2;en-attente-de-correction;brevet-metropole-2017;12175050;Brevet;Métropole;2017;Brevet 2017 Métropole
9926;Statistiques - Brevet Métropole 2017;active;statistiques-brevet-metropole-2017;4802001;troisieme;3e-statistiques;2;en-attente-de-correction;brevet-metropole-2017;12175060;Brevet;Métropole;2017;Brevet 2017 Métropole
9936;Volumes - Brevet Métropole 2017;active;volumes-brevet-metropole-2017;7;troisieme;NULL;2;en-attente-de-correction;brevet-metropole-2017;12175070;Brevet;Métropole;2017;Brevet 2017 Métropole
9484;Volumes - Brevet Métropole 2018;active;volumes-brevet-metropole-2018;4702001;troisieme;3e-solides-volumes;2;en-attente-de-correction;brevet-metropole-2018;12185010;Brevet;Métropole;2018;Brevet 2018 Métropole
9500;Statistiques - Brevet Métropole 2018;active;statistiques-brevet-metropole-2018;2;troisieme;NULL;2;en-attente-de-correction;brevet-metropole-2018;12185020;Brevet;Métropole;2018;Brevet 2018 Métropole
9508;Probabilités - Brevet Métropole 2018;active;probabilites-brevet-metropole-2018;4852001;troisieme;3e-probabilites;2;en-attente-de-correction;brevet-metropole-2018;12185020;Brevet;Métropole;2018;Brevet 2018 Métropole
9512;Géométrie plane - Brevet Métropole 2018;active;geometrie-plane-brevet-metropole-2018;4;troisieme;NULL;2;en-attente-de-correction;brevet-metropole-2018;12185020;Brevet;Métropole;2018;Brevet 2018 Métropole
9518;Algorithme de calcul - Brevet Métropole 2018;active;algorithme-de-calcul-brevet-metropole-2018;5;troisieme;NULL;2;en-attente-de-correction;brevet-metropole-2018;12185020;Brevet;Métropole;2018;Brevet 2018 Métropole
9525;Programme scratch - Brevet Métropole 2018;active;programme-scratch-brevet-metropole-2018;6;troisieme;NULL;2;en-attente-de-correction;brevet-metropole-2018;12185020;Brevet;Métropole;2018;Brevet 2018 Métropole
9532;Hand-spinner - Brevet Métropole 2018;active;hand-spinner-brevet-metropole-2018;7;troisieme;NULL;2;en-attente-de-correction;brevet-metropole-2018;12185020;Brevet;Métropole;2018;Brevet 2018 Métropole
11189;QCM - Contrôle continu 1ère - 2020 - Sujet zéro;active;qcm-controle-continu-1ere-2020-sujet-zero;1;premiere;NULL;2;exercice-corrige;controle-continu-1ere-2020-sujet-zero;14200010;Première;Contrôle continu;2020;Première 2020 Contrôle continu
11198;Fonction exponentielle - Contrôle continu 1ère - 2020 - Sujet zéro;active;fonction-exponentielle-controle-continu-1ere-2020-sujet-zero;6452001;premiere;1e-fonction-exponentielle;2;exercice-corrige;controle-continu-1ere-2020-sujet-zero;14200020;Première;Contrôle continu;2020;Première 2020 Contrôle continu
11205;Probabilités - Contrôle continu 1ère - 2020 - Sujet zéro;active;probabilites-controle-continu-1ere-2020-sujet-zero;3;premiere;NULL;1;exercice-corrige;controle-continu-1ere-2020-sujet-zero;14200030;Première;Contrôle continu;2020;Première 2020 Contrôle continu
11213;Suites - Contrôle continu 1ère - 2020 - Sujet zéro;active;suites-controle-continu-1ere-2020-sujet-zero;6252001;premiere;1e-suites-arithmetiques-et-geometriques;2;exercice-corrige;controle-continu-1ere-2020-sujet-zero;14200040;Première;Contrôle continu;2020;Première 2020 Contrôle continu
1085;Calcul de rentabilité - Bac ES Amérique du Nord 2008;active;calcul-rentabilite-bac-es-amerique-nord-2008;4;tle-complementaire;tes-exponentielle;2;exercice-corrige;bac-es-amerique-du-nord-2008;15082010;Bac ES/L;Amérique du Nord;2008;Bac ES/L 2008 Amérique du Nord
1854;Révisions Fonctions - Bac ES Amérique du Nord 2008;active;revisions-fonctions-bac-es-amerique-nord-2008;1;tle-complementaire;NULL;2;exercice-corrige;bac-es-amerique-du-nord-2008;15082020;Bac ES/L;Amérique du Nord;2008;Bac ES/L 2008 Amérique du Nord
1856;Arbre -Loi de probabilité-Bac ES Amérique du Nord 2008;active;arbre-loi-probabilite-bac-es-amerique-nord-2008;8652001;tle-complementaire;tc-probabilites-conditionnelles;2;exercice-corrige;bac-es-amerique-du-nord-2008;15082030;Bac ES/L;Amérique du Nord;2008;Bac ES/L 2008 Amérique du Nord
1859;Probabilités - Matrice de transition - Bac ES Amérique du Nord 2008;active;probabilites-matrice-de-transition-bac-es-amerique-du-nord-2008;2;tle-complementaire;NULL;2;NULL;bac-es-amerique-du-nord-2008;15082040;Bac ES/L;Amérique du Nord;2008;Bac ES/L 2008 Amérique du Nord
1878;Lecture graphique-Intégrale-Bac ES Liban 2008;active;lecture-graphique-integrale-bac-es-liban-2008;1;tle-complementaire;NULL;2;NULL;bac-es-liban-2008;15084010;Bac ES/L;Liban;2008;Bac ES/L 2008 Liban
1880;Probabilités-Loi binomiale-Bac ES Liban 2008;active;loi-binomiale-bac-es-liban-2008;8652001;tle-complementaire;tc-probabilites-conditionnelles;2;exercice-corrige;bac-es-liban-2008;15084020;Bac ES/L;Liban;2008;Bac ES/L 2008 Liban
1883;Etude d'une fonction - Economie - Bac ES Liban 2008;active;fonction-economie-bac-es-liban-2008;3;tle-complementaire;NULL;2;NULL;bac-es-liban-2008;15084030;Bac ES/L;Liban;2008;Bac ES/L 2008 Liban
1886;Ajustements affine et logarithmique - Bac ES Liban 2008;active;ajustement-affine-logarithmique-bac-es-liban-2008;4;tle-complementaire;NULL;2;NULL;bac-es-liban-2008;15084040;Bac ES/L;Liban;2008;Bac ES/L 2008 Liban
1152;Matrice de transition - Bac ES Métropole 2008;active;matrice-de-transition-bac-es-metropole-2008;0;tle-complementaire;tes-spe-graphe-probabiliste;2;exercice-corrige;bac-es-metropole-2008;15085010;Bac ES/L;Métropole;2008;Bac ES/L 2008 Métropole
1210;QCM sur les fonctions-Bac ES Métropole 2008;active;qcm-fonctions-bac-es-metropole-2008;0;tle-complementaire;NULL;2;exercice-corrige;bac-es-metropole-2008;15085020;Bac ES/L;Métropole;2008;Bac ES/L 2008 Métropole
1219;Probabilités - Loi binomiale - Bac ES Métropole 2008;active;loi-binomiale-bac-es-metropole-2008-2;0;tle-complementaire;NULL;2;exercice-corrige;bac-es-metropole-2008;15085030;Bac ES/L;Métropole;2008;Bac ES/L 2008 Métropole
1847;Ajustement affine et exponentiel-Bac ES Métropole 2008;active;ajustement-affine-exponentiel-bac-es-metropole-2008;3;tle-complementaire;NULL;2;NULL;bac-es-metropole-2008;15085040;Bac ES/L;Métropole;2008;Bac ES/L 2008 Métropole
1143;Graphes - Trajet minimal - Bac ES Polynésie française 2008;active;graphes-trajet-minimal-bac-es-polynesie-francaise-2008;9702001;tle-expert;tx-graphes;2;en-attente-de-correction;bac-es-polynesie-francaise-2008;15085510;Bac ES/L;Polynésie;2008;Bac ES/L 2008 Polynésie
1893;QCM Lecture graphique - Bac ES Polynésie française 2008;active;qcm-lecture-graphique-bac-es-polynesie-francaise-2008;1;tle-complementaire;NULL;2;NULL;bac-es-polynesie-francaise-2008;15085520;Bac ES/L;Polynésie;2008;Bac ES/L 2008 Polynésie
1896;Probabilités - Loi binomiale - Bac ES Polynésie française 2008;active;loi-binomiale-bac-es-polynesie-francaise-2008;8652001;terminale;tc-probabilites-conditionnelles;2;exercice-corrige;bac-es-polynesie-francaise-2008;15085530;Bac ES/L;Polynésie;2008;Bac ES/L 2008 Polynésie
1900;Ajustement exponentiel - Bac ES Polynésie française 2008;active;ajustement-exponentiel-bac-es-polynesie-francaise-2008;3;tle-complementaire;NULL;2;NULL;bac-es-polynesie-francaise-2008;15085540;Bac ES/L;Polynésie;2008;Bac ES/L 2008 Polynésie
1904;Fonction logarithme - Calcul d'aire - Bac ES Polynésie française 2008;active;logarithme-aire-bac-es-polynesie-francaise-2008;4;tle-complementaire;NULL;2;NULL;bac-es-polynesie-francaise-2008;15085550;Bac ES/L;Polynésie;2008;Bac ES/L 2008 Polynésie
1145;Graphe - Trajet minimal - Bac ES Amérique du Nord 2009;active;graphe-trajet-minimal-bac-es-amerique-nord-2009;9702001;tle-expert;tx-graphes;2;en-attente-de-correction;bac-es-amerique-du-nord-2009;15092010;Bac ES/L;Amérique du Nord;2009;Bac ES/L 2009 Amérique du Nord
1944;Etude de fonctions - Bac ES Amérique du Nord 2009;active;etude-fonction-bac-es-amerique-nord-2009;4;tle-complementaire;NULL;2;NULL;bac-es-amerique-du-nord-2009;15092020;Bac ES/L;Amérique du Nord;2009;Bac ES/L 2009 Amérique du Nord
1951;Simulation - Bac ES Amérique du Nord 2009;active;statistiques-simulation-bac-es-amerique-nord-2009;2;tle-complementaire;NULL;2;NULL;bac-es-amerique-du-nord-2009;15092030;Bac ES/L;Amérique du Nord;2009;Bac ES/L 2009 Amérique du Nord
1955;Ajustement affine et probabilités - Bac ES Amérique du Nord 2009;active;ajustement-affine-probabilites-bac-es-amerique-nord-2009;3;terminale;NULL;2;NULL;bac-es-amerique-du-nord-2009;15092040;Bac ES/L;Amérique du Nord;2009;Bac ES/L 2009 Amérique du Nord
2765;QCM Général-Bac ES Amérique du Nord 2009;active;qcm-general-bac-es-amerique-nord-2009;1;tle-complementaire;NULL;2;NULL;bac-es-amerique-du-nord-2009;15092050;Bac ES/L;Amérique du Nord;2009;Bac ES/L 2009 Amérique du Nord
1176;Matrice de transition - Bac ES Centres étrangers 2009;active;matrice-transition-bac-es-centres-etrangers-2009;2;tle-complementaire;tes-spe-graphe-probabiliste;2;en-attente-de-correction;bac-es-centres-etrangers-2009;15092510;Bac ES/L;Centres Etrangers;2009;Bac ES/L 2009 Centres Etrangers
1968;QCM sur les fonctions - Bac ES Centres étrangers 2009;active;qcm-fonctions-bac-es-centres-etrangers-2009;1;tle-complementaire;NULL;2;NULL;bac-es-centres-etrangers-2009;15092520;Bac ES/L;Centres Etrangers;2009;Bac ES/L 2009 Centres Etrangers
1971;Loi binomiale - Bac ES Centres étrangers 2009;active;loi-binomiale-bac-es-centres-etrangers-2009;8652001;tle-complementaire;tc-probabilites-conditionnelles;2;exercice-corrige;bac-es-centres-etrangers-2009;15092530;Bac ES/L;Centres Etrangers;2009;Bac ES/L 2009 Centres Etrangers
1978;Ajustement affine et exponentiel - Bac ES Centres étrangers 2009;active;ajustement-affine-exponentiel-bac-es-centres-etrangers-2009;3;tle-complementaire;NULL;2;NULL;bac-es-centres-etrangers-2009;15092540;Bac ES/L;Centres Etrangers;2009;Bac ES/L 2009 Centres Etrangers
1981;Etude de fonction Calcul d'aire - Bac ES Centres étrangers 2009;active;etude-fonction-calcul-aire-bac-es-centres-etrangers-2009;4;tle-complementaire;NULL;2;NULL;bac-es-centres-etrangers-2009;15092550;Bac ES/L;Centres Etrangers;2009;Bac ES/L 2009 Centres Etrangers
2437;Suite de fonctions - Bac S Centres étrangers 2009;active;suite-fonctions-bac-s-centres-etrangers-2009;4;terminale;NULL;2;NULL;bac-es-centres-etrangers-2009;15092560;Bac ES/L;Centres Etrangers;2009;Bac ES/L 2009 Centres Etrangers
1947;QCM sur les fonctions - Bac ES Liban 2009;active;qcm-fonctions-bac-es-liban-2009;1;tle-complementaire;NULL;2;NULL;bac-es-liban-2009;15094010;Bac ES/L;Liban;2009;Bac ES/L 2009 Liban
1961;Loi de probabilité - Bac ES Liban 2009;active;loi-de-probabilite-bac-es-liban-2009;8652001;tle-complementaire;tc-probabilites-conditionnelles;2;en-attente-de-correction;bac-es-liban-2009;15094020;Bac ES/L;Liban;2009;Bac ES/L 2009 Liban
1963;Fonction exponentielle Coût marginal - Bac ES Liban 2009;active;fonction-exponentielle-cout-marginal-bac-es-liban-2009;3;tle-complementaire;NULL;2;NULL;bac-es-liban-2009;15094030;Bac ES/L;Liban;2009;Bac ES/L 2009 Liban
1966;Fonction de deux variables - Bac ES Liban 2009;active;fonction-deux-variables-bac-es-liban-2009;4;tle-complementaire;NULL;2;NULL;bac-es-liban-2009;15094040;Bac ES/L;Liban;2009;Bac ES/L 2009 Liban
2771;Ajustement exponentiel - Bac ES Liban 2009;active;ajustement-exponentiel-bac-es-liban-2009;4;tle-complementaire;NULL;2;NULL;bac-es-liban-2009;15094050;Bac ES/L;Liban;2009;Bac ES/L 2009 Liban
1139;Graphes Algorithme de Dijkstra - Bac ES Métropole 2009;active;graphes-algorithme-dijkstra-bac-es-metropole-2009;9702001;tle-expert;tx-graphes;2;exercice-corrige;bac-es-metropole-2009;15095010;Bac ES/L;Métropole;2009;Bac ES/L 2009 Métropole
1909;Ajustement affine-Bac ES Métropole 2009;active;ajustement-affine-bac-es-metropole-2009;1;tle-complementaire;NULL;2;NULL;bac-es-metropole-2009;15095020;Bac ES/L;Métropole;2009;Bac ES/L 2009 Métropole
1913;Logarithmes - Bac ES Métropole 2009;active;lecture-graphique-logarithme-bac-es-metropole-2009;2;tle-complementaire;NULL;2;exercice-corrige;bac-es-metropole-2009;15095030;Bac ES/L;Métropole;2009;Bac ES/L 2009 Métropole
1925;Étude d'une fonction - Application économique - Bac ES Métropole 2009;active;fonction-application-economique-bac-es-metropole-2009;4;tle-complementaire;NULL;2;exercice-corrige;bac-es-metropole-2009;15095040;Bac ES/L;Métropole;2009;Bac ES/L 2009 Métropole
1931;Probabilités Loi binomiale - Bac ES Pondichéry 2009;active;probabilites-loi-binomiale-bac-es-pondichery-2009;8652001;tle-complementaire;tc-probabilites-conditionnelles;2;exercice-corrige;bac-es-metropole-2009;15095050;Bac ES/L;Métropole;2009;Bac ES/L 2009 Métropole
1148;Graphes Trajet minimal - Bac ES Pondichéry 2009;active;graphes-trajet-minimal-bac-es-pondichery-2009;9702001;tle-expert;tx-graphes;2;exercice-corrige;bac-es-pondichery-2009;15096010;Bac ES/L;Pondichéry;2009;Bac ES/L 2009 Pondichéry
1936;Ajustement affine-Bac ES Pondichéry 2009;active;ajustement-affine-bac-es-pondichery-2009;2;tle-complementaire;NULL;2;exercice-corrige;bac-es-pondichery-2009;15096020;Bac ES/L;Pondichéry;2009;Bac ES/L 2009 Pondichéry
2758;Lecture graphique Etude de fonction - Bac ES Pondichéry 2009;active;lecture-graphique-etude-fonction-bac-es-pondichery-2009;3;tle-complementaire;NULL;2;exercice-corrige;bac-es-pondichery-2009;15096030;Bac ES/L;Pondichéry;2009;Bac ES/L 2009 Pondichéry
1985;Probabilités Arbre - Bac ES Pondichéry 2011;active;arbre-bac-es-pondichery-2011;8652001;tle-complementaire;tc-probabilites-conditionnelles;2;exercice-corrige;bac-es-pondichery-2011;15116010;Bac ES/L;Pondichéry;2011;Bac ES/L 2011 Pondichéry
1991;Etude de fonctions - Bac ES Pondichéry 2011;active;fonctions-bac-es-pondichery-2011;2;tle-complementaire;NULL;2;exercice-corrige;bac-es-pondichery-2011;15116020;Bac ES/L;Pondichéry;2011;Bac ES/L 2011 Pondichéry
1995;Matrice de transition - Bac ES Pondichéry 2011;active;matrice-de-transition-bac-es-pondichery-2011;3;tle-complementaire;NULL;2;NULL;bac-es-pondichery-2011;15116030;Bac ES/L;Pondichéry;2011;Bac ES/L 2011 Pondichéry
2000;Recherche du bénéfice maximal - Bac ES Pondichéry 2011;active;benefice-maximal-bac-es-pondichery-2011;8602001;tle-complementaire;tc-logarithme-neperien;2;en-attente-de-correction;bac-es-pondichery-2011;15116040;Bac ES/L;Pondichéry;2011;Bac ES/L 2011 Pondichéry
2004;Pourcentages Ajustement affine - Bac ES Métropole 2012;active;pourcentages-ajustement-bac-es-metropole-2012;1;tle-complementaire;NULL;2;NULL;bac-es-metropole-2012;15125010;Bac ES/L;Métropole;2012;Bac ES/L 2012 Métropole
2008;Probabilités et pourcentages - Bac ES Métropole 2012;active;probabilites-et-pourcentages-bac-es-metropole-2012;8652001;tle-complementaire;tc-probabilites-conditionnelles;2;en-attente-de-correction;bac-es-metropole-2012;15125020;Bac ES/L;Métropole;2012;Bac ES/L 2012 Métropole
2011;QCM Fonctions - Bac ES Métropole 2012;active;qcm-fonctions-bac-es-metropole-2012;3;tle-complementaire;NULL;2;NULL;bac-es-metropole-2012;15125030;Bac ES/L;Métropole;2012;Bac ES/L 2012 Métropole
2014;Etude de bénéfice - Bac ES Métropole 2012;active;etude-benefice-bac-es-metropole-2012;4;tle-complementaire;NULL;2;NULL;bac-es-metropole-2012;15125040;Bac ES/L;Métropole;2012;Bac ES/L 2012 Métropole
2066;QCM - Bac ES/L Amérique du Nord 2013;active;qcm-bac-es-amerique-nord-2013;1;tle-complementaire;NULL;2;NULL;bac-esl-amerique-du-nord-2013;15132010;Bac ES/L;Amérique du Nord;2013;Bac ES/L 2013 Amérique du Nord
2068;Probabilités - Bac ES/L Amérique du Nord 2013;active;probabilites-bac-es-amerique-nord-2013;2;tle-complementaire;NULL;2;NULL;bac-esl-amerique-du-nord-2013;15132020;Bac ES/L;Amérique du Nord;2013;Bac ES/L 2013 Amérique du Nord
2071;Suites arithmético-géométrique - Bac ES/L Amérique du Nord 2013;active;suites-bac-es-amerique-nord-2013;8202001;tle-complementaire;tc-suites;2;exercice-corrige;bac-esl-amerique-du-nord-2013;15132030;Bac ES/L;Amérique du Nord;2013;Bac ES/L 2013 Amérique du Nord
2076;Exponentielle - Bac ES/L Amérique du Nord 2013;active;exponentielle-bac-es-amerique-nord-2013;4;tle-complementaire;NULL;2;NULL;bac-esl-amerique-du-nord-2013;15132040;Bac ES/L;Amérique du Nord;2013;Bac ES/L 2013 Amérique du Nord
2101;QCM Suites - Bac ES/L Centres étrangers 2013;active;qcm-suites-bac-es-centres-etrangers-2013;8202001;tle-complementaire;tc-suites;2;exercice-corrige;bac-esl-centres-etrangers-2013;15132510;Bac ES/L;Centres Etrangers;2013;Bac ES/L 2013 Centres Etrangers
2104;Probabilités - Bac ES/L Centres étrangers 2013;active;probabilites-bac-es-centres-etrangers-2013;8652001;tle-complementaire;tc-probabilites-conditionnelles;2;en-attente-de-correction;bac-esl-centres-etrangers-2013;15132520;Bac ES/L;Centres Etrangers;2013;Bac ES/L 2013 Centres Etrangers
2107;Fonctions - Convexité - Bac ES/L Centres étrangers 2013;active;fonction-convexe-bac-es-centres-etrangers-2013;8402001;tle-complementaire;tc-derivees-convexite;2;en-attente-de-correction;bac-esl-centres-etrangers-2013;15132530;Bac ES/L;Centres Etrangers;2013;Bac ES/L 2013 Centres Etrangers
2110;Lois continues - Bac ES/L Centres étrangers 2013;active;lois-continues-bac-es-centres-etrangers-2013;8702001;tle-complementaire;tc-lois-a-densite;2;en-attente-de-correction;bac-esl-centres-etrangers-2013;15132540;Bac ES/L;Centres Etrangers;2013;Bac ES/L 2013 Centres Etrangers
2051;QCM - Bac ES/L Liban 2013;active;qcm-bac-es-liban-2013;1;tle-complementaire;NULL;2;NULL;bac-esl-liban-2013;15134010;Bac ES/L;Liban;2013;Bac ES/L 2013 Liban
